player1,player2,similarity
Hugo Lloris,Franck Ribéry,0.7817040828390054
Franck Ribéry,Hugo Lloris,0.7817040828390054
Bernd Leno,Neymar,0.7817939753277111
Neymar,Bernd Leno,0.7817939753277111
Neymar,Petr Čech,0.7818384861574277
Petr Čech,Neymar,0.7818384861574278
Samir Handanovič,Harry Kane,0.7819218272730372
Harry Kane,Samir Handanovič,0.7819218272730372
Samir Handanovič,Mats Hummels,0.781960023293259
Mats Hummels,Samir Handanovič,0.7819600232932591
Marcelo,Stéphane Ruffier,0.7819980752056191
Stéphane Ruffier,Marcelo,0.7819980752056191
Stéphane Ruffier,Miranda,0.7821396010511181
Miranda,Stéphane Ruffier,0.7821396010511181
Juan Mata,Bernd Leno,0.782214493498592
Bernd Leno,Juan Mata,0.782214493498592
Karim Benzema,Manuel Neuer,0.7822346224292479
Manuel Neuer,Karim Benzema,0.7822346224292479
Petr Čech,Juan Mata,0.7822590282701823
Juan Mata,Petr Čech,0.7822590282701823
Arjen Robben,Hugo Lloris,0.782334788945659
Hugo Lloris,Arjen Robben,0.782334788945659
Alexandre Lacazette,Stéphane Ruffier,0.7823691078367975
Stéphane Ruffier,Alexandre Lacazette,0.7823691078367975
Alexis Sánchez,Samir Handanovič,0.7825623067568706
Samir Handanovič,Alexis Sánchez,0.7825623067568706
Thibaut Courtois,Lionel Messi,0.7826061812219421
Lionel Messi,Thibaut Courtois,0.7826061812219423
Gianluigi Buffon,Lionel Messi,0.7827752990935982
Lionel Messi,Gianluigi Buffon,0.7827752990935982
Jan Oblak,Sergio Busquets,0.7829165063725956
Sergio Busquets,Jan Oblak,0.7829165063725956
Jérôme Boateng,Stéphane Ruffier,0.7829925047483012
Stéphane Ruffier,Jérôme Boateng,0.7829925047483012
Vincent Kompany,Stéphane Ruffier,0.7830728822716643
Stéphane Ruffier,Vincent Kompany,0.7830728822716643
Marcelo,Bernd Leno,0.783192452821752
Bernd Leno,Marcelo,0.783192452821752
Edinson Cavani,Samir Handanovič,0.7832055134810508
Samir Handanovič,Edinson Cavani,0.7832055134810509
Jan Oblak,David Silva,0.7832221038586307
David Silva,Jan Oblak,0.7832221038586307
Marcelo,Petr Čech,0.7832370432726931
Petr Čech,Marcelo,0.7832370432726931
Lionel Messi,Keylor Navas,0.7832538568996055
Keylor Navas,Lionel Messi,0.7832538568996055
Bernd Leno,Miranda,0.7833341948254582
Miranda,Bernd Leno,0.7833341948254582
Petr Čech,Miranda,0.7833787933463695
Miranda,Petr Čech,0.7833787933463695
Pepe,Hugo Lloris,0.7834127180483074
Hugo Lloris,Pepe,0.7834127180483074
Jan Oblak,Diego Godín,0.7834263516677553
Diego Godín,Jan Oblak,0.7834263516677553
Paulo Dybala,De Gea,0.7834674142486769
De Gea,Paulo Dybala,0.783467414248677
Alexandre Lacazette,Bernd Leno,0.7835640521462299
Bernd Leno,Alexandre Lacazette,0.7835640521462299
Alexandre Lacazette,Petr Čech,0.7836086637538884
Petr Čech,Alexandre Lacazette,0.7836086637538885
Coutinho,Jan Oblak,0.7836087442174845
Jan Oblak,Coutinho,0.7836087442174845
Dimitri Payet,Samir Handanovič,0.783620699457276
Samir Handanovič,Dimitri Payet,0.7836206994572761
Claudio Marchisio,Samir Handanovič,0.7836512106320548
Samir Handanovič,Claudio Marchisio,0.7836512106320548
Manuel Neuer,Andrea Barzagli,0.7837708345973063
Andrea Barzagli,Manuel Neuer,0.7837708345973063
Stéphane Ruffier,Robert Lewandowski,0.7838457491616406
