Club,Club_Position
Sunderland,Res
Portland,RM
CD Leganés,RDM
PSV,ST
LOSC Lille,ST
Watford,LCM
RCD Espanyol,Sub
1899 Hoffenheim,LCB
Fenerbahçe,LDM
Eint. Frankfurt,LWB
1. FC Köln,Sub
Newcastle Utd,RDM
FC Dallas,Sub
Racing Club,RS
Torino,CDM
Bayer 04,Sub
Udinese,Sub
Lanús,LW
Watford,RWB
Hamburger SV,CAM
RC Deportivo,RB
Lokomotiv Moscow,Sub
FC Krasnodar,Sub
Cagliari,RB
Atl. Nacional,ST
Atalanta,Sub
VfL Wolfsburg,Sub
West Ham,LDM
Stoke City,Sub
Chievo Verona,CDM
FC Bayern,Sub
Swansea City,RCM
Spurs,Sub
Torino,RCB
FC Lorient,ST
Hamburger SV,RCB
Celta Vigo,Sub
Hamburger SV,RM
CD Leganés,Sub
Real Sociedad,LB
Galatasaray,RCB
AS Saint-Étienne,CAM
Hertha BSC,Sub
Bournemouth,Sub
Málaga CF,RB
Fiorentina,RCB
Watford,LWB
Sporting CP,Sub
Villarreal CF,Sub
Olym. Lyonnais,Sub
Eint. Frankfurt,Res
Beşiktaş,RCB
FC Krasnodar,CDM
RC Deportivo,Sub
Watford,Sub
Hull City,LM
Watford,CB
Chievo Verona,Sub
Sassuolo,ST
Legia Warszawa,CAM
RCD Espanyol,Sub
SD Eibar,Sub
Estudiantes,GK
Swansea City,Sub
Toulouse FC,CAM
Inter,Sub
UD Las Palmas,GK
Chievo Verona,LCM
Feyenoord,LW
River Plate,RCB
Beşiktaş,Sub
Real Madrid,Sub
Southampton,Sub
Sunderland,Sub
Sunderland,LDM
Southampton,Sub
FC Nantes,GK
AZ,RCB
Lokomotiv Moscow,Sub
SD Eibar,Sub
Tigres,Sub
Boca Juniors,CDM
Kaizer Chiefs,GK
1899 Hoffenheim,Sub
Udinese,LW
Málaga CF,Sub
Celta Vigo,GK
Hull City,Sub
Watford,RCB
AS Monaco,Sub
Stoke City,RDM
FC Nantes,RDM
Hamburger SV,Res
León,ST
Watford,CM
Real Sociedad,Sub
Giron. Bordeaux,LW
Beşiktaş,Sub
Rubin Kazan,RDM
Toluca,GK
Colo-Colo,GK
West Ham,Sub
Zenit,Sub
Watford,RS
Southampton,LCM
Sassuolo,Sub
FC Augsburg,RB
Osmanlıspor,GK
CSKA Moscow,Sub
SD Eibar,RCB
UD Las Palmas,Sub
Fenerbahçe,GK
FC Basel,CAM
Racing Club,GK
Swansea City,Sub
Leicester City,LB
Genoa,CB
Olympiakos CFP,LCM
Stoke City,RB
Bayer 04,Sub
Leicester City,RCB
EA Guingamp,ST
Hull City,Sub
Athletic Bilbao,Sub
Colo-Colo,LCM
LA Galaxy,RCB
Medipol Başakşehir,ST
FC St. Gallen,LF
KV Oostende,Sub
Villarreal CF,Sub
SM Caen,GK
AS Monaco,Sub
SL Benfica,LB
Bor. Dortmund,Sub
Medipol Başakşehir,LDM
Napoli,Sub
Toulouse FC,RCB
Napoli,CM
Atl. Paranaense,RAM
Criciúma,RDM
Sport,RCB
Santos,LB
Internacional,GK
Grêmio,GK
Figueirense,GK
Palmeiras,RDM
A. Minas G.,RDM
Ponte Preta,RCB
Grêmio,RCB
Botafogo,LCB
Bayer 04,Sub
Juventus,Sub
Sporting CP,Sub
PSV,LW
V. Guimarães,RW
Sporting CP,Sub
Ajax,GK
Real Sociedad,Sub
Manchester City,Sub
Shakhtar Donetsk,Sub
FC Porto,Sub
PSG,Sub
Standard Liège,Sub
Fenerbahçe,Sub
SV Darmstadt,LCB
Galatasaray,Sub
FC Schalke 04,Sub
SC Braga,Sub
Pachuca,LCM
Atlético Madrid,Sub
SL Benfica,LM
Deport. Alavés,Sub
Everton,Sub
Fiorentina,Sub
FC Nantes,LCB
Lanús,RB
Deport. Alavés,CAM
West Ham,Sub
Milan,Sub
Hertha BSC,RM
Nacional,RB
VfB Stuttgart,RM
SC Freiburg,RM
Málaga CF,Sub
Sassuolo,LW
Ajax,Sub
SD Eibar,RB
Genoa,RCB
Lanús,Sub
